Latitude,Longitude,Datum,Horizontal Accuracy,State Code,County Code,Site Num,Parameter Code,POC,AQS Parameter Desc,Date Local,24 Hour Local,Date GMT,24 Hour GMT,Year GMT,Day In Year GMT,Sample Measurement,Units of Measure,Sample Duration,Sample Frequency,Detection Limit,Measurement Uncertainty,Qualifier Description,Method Type,Method Description
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2010-08-04","00:00","2010-08-04","07:00",2010,216,5.9,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2007-12-24","00:00","2007-12-24","07:00",2007,358,7.8,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-12-28","00:00","2011-12-28","07:00",2011,362,21.9,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2013-04-06","00:00","2013-04-06","07:00",2013,96,4.5,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2009-10-06","00:00","2009-10-06","07:00",2009,279,6,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-02-11","00:00","2011-02-11","07:00",2011,42,11.7,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-09-12","00:00","2011-09-12","07:00",2011,255,4.2,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2007-06-02","00:00","2007-06-02","07:00",2007,153,11.5,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2010-03-09","00:00","2010-03-09","07:00",2010,68,4.8,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-01-03","00:00","2011-01-03","07:00",2011,3,28.1,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2013-02-13","00:00","2013-02-13","07:00",2013,44,29,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2010-05-22","00:00","2010-05-22","07:00",2010,142,8.3,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2012-09-28","00:00","2012-09-28","07:00",2012,272,10.7,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-12-27","00:00","2011-12-27","07:00",2011,361,38.3,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-07-07","00:00","2011-07-07","07:00",2011,188,7.5,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2007-06-15","00:00","2007-06-15","07:00",2007,166,10,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2008-11-24","00:00","2008-11-24","07:00",2008,329,16.3,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2009-04-13","00:00","2009-04-13","07:00",2009,103,3.3,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2008-05-08","00:00","2008-05-08","07:00",2008,129,6.2,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
