Latitude,Longitude,Datum,Horizontal Accuracy,State Code,County Code,Site Num,Parameter Code,POC,AQS Parameter Desc,Date Local,24 Hour Local,Date GMT,24 Hour GMT,Year GMT,Day In Year GMT,Sample Measurement,Units of Measure,Sample Duration,Sample Frequency,Detection Limit,Measurement Uncertainty,Qualifier Description,Method Type,Method Description
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2010-02-15","00:00","2010-02-15","07:00",2010,46,14.1,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2010-05-31","00:00","2010-05-31","07:00",2010,151,5.2,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2010-07-04","00:00","2010-07-04","07:00",2010,185,6.9,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2010-07-05","00:00","2010-07-05","07:00",2010,186,4.9,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2010-10-11","00:00","2010-10-11","07:00",2010,284,6,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2010-11-11","00:00","2010-11-11","07:00",2010,315,5.8,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2010-12-24","00:00","2010-12-24","07:00",2010,358,15.5,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2010-12-25","00:00","2010-12-25","07:00",2010,359,23.8,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2013-02-18","00:00","2013-02-18","07:00",2013,49,9.2,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2011-01-18","00:00","2011-01-18","07:00",2011,18,5.6,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
